class,order,superfamily,family,genus,stage,age,extinction,temp,change_prev,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10,trend_genus,trend_family,trend_order
Foraminifera,Rotaliida,Planorbulinoidea,Victoriellidae,Korobkovella,86,39.65,1,23.0798873999168,-0.37937107365408296,-0.846119881886123,0.06334654317347792,0.2607906683432579,0.2436356335837401,0.16053913047719015,-0.08566948354169784,-0.17192186880086227,-0.22234102984752915,-0.21945596672729697,-0.15957598711371215,NA,NA,-0.21945596672729697
Foraminifera,Rotaliida,Planorbulinoidea,Victoriellidae,Korobkovella,85,44.55,0,24.9388056608218,-0.8461198818861234,1.0527383247369264,0.841953373314407,0.5429390709252615,0.2695240413714809,-0.1063820095984059,-0.21342162788599536,-0.26973273805416453,-0.25734548332434654,-0.17448683811831758,-0.021333516002116137,NA,NA,-0.25734548332434654
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinobigenerina,42,301.3,1,22.93158975732,0.4944291010765497,-0.378182974786082,0.1249033435811496,-0.08331884147094441,-0.12662229256959248,-0.1000777577192548,-0.1352955305982167,-0.11924728226621513,-0.08595989021990406,-0.043889847143605436,-0.05926472779120416,-0.12662229256959248,-0.12662229256959248,-0.1000777577192548
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinobigenerina,41,305.35,0,20.92915189796,-0.37818297478608637,0.4437977336370341,-0.06706120086427633,-0.13426134297586018,-0.09753834710070071,-0.14057640370898866,-0.1202547698855696,-0.08166985038092575,-0.03425170593800438,-0.05329826642006509,-0.048966612552679784,-0.13426134297586018,-0.13426134297586018,-0.09753834710070071
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinobigenerina,40,311.1,0,23.10370400298,0.44379773363704855,-0.5997265904458543,-0.2901536976107863,-0.14902687648293497,-0.18154948970320087,-0.14321289374446533,-0.09156896055571097,-0.03360842322633319,-0.056329819709258926,-0.05074116369165604,-0.04632998256785788,-0.2901536976107863,-0.2901536976107863,-0.14902687648293497
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinobigenerina,39,319.2,0,19.50894236052,-0.5997265904458585,-0.10906159165446877,-0.03712479908391094,-0.13358419004376434,-0.10195349819869123,-0.04754220688721672,0.01635454850656088,-0.021134132751110597,-0.02050977941295129,-0.01958359726706147,-0.019705937635940227,-0.10906159165446877,-0.10906159165446877,-0.03712479908391094
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinobigenerina,38,327.05,0,24.21679609552,-0.10906159165446866,0.019833240855714508,-0.16875006736033069,-0.10604630056511714,-0.028226970738344456,0.05540372702543851,-0.004632986338167911,-0.00736885138949638,-0.008462765107573642,-0.010321853566546843,0.0043247735491011565,NA,NA,0.019833240855714508
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinobigenerina,37,338.8,0,25.49826979746,0.01983324085571438,-0.3823748424156824,-0.1320856127014258,0.005108074053098831,0.1265622782096264,0.014127424245448902,0.005003731662035855,8.306683200159257e-4,-0.003388423600416015,0.014863493823552855,0.012809872391836829,NA,NA,NA
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinotextularia,42,301.3,1,22.93158975732,0.4944291010765497,-0.378182974786082,0.1249033435811496,-0.08331884147094441,-0.12662229256959248,-0.1000777577192548,-0.1352955305982167,-0.11924728226621513,-0.08595989021990406,-0.043889847143605436,-0.05926472779120416,-0.12662229256959248,-0.12662229256959248,-0.1000777577192548
Foraminifera,Palaeotextulariida,Palaeotextularioidea,Semitextulariidae,Koskinotextularia,41,305.35,0,20.92915189796,-0.37818297478608637,0.4437977336370341,-0.06706120086427633,-0.13426134297586018,-0.09753834710070071,-0.14057640370898866,-0.1202547698855696,-0.08166985038092575,-0.03425170593800438,-0.05329826642006509,-0.048966612552679784,-0.13426134297586018,-0.13426134297586018,-0.09753834710070071
