"Phylum" "Class" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"6674" "Chordata" "Aves" "Phasianidae" "Meleagris" 7.246 0 92 94
"6742" "Chordata" "Aves" "Anatidae" "Mergus" 15.97 0 91 94
"6780" "Chordata" "Aves" "Phorusrhacidae" "Mesembriornis" 6.8 2.588 92 93
"6801" "Chordata" "Aves" "Sulidae" "Microsula" 20.44 5.333 90 92
"6804" "Chordata" "Saurischia" "Caenagnathidae" "Microvenator" 125 100.5 74 75
"6807" "Chordata" "Aves" "Falconidae" "Milvago" 3.6 0.0117 93 94
"6811" "Chordata" "Aves" "Accipitridae" "Milvoides" 47.8 38 85 86
"6835" "Chordata" "Aves" "Alcidae" "Miocepphus" 23.03 3.6 90 93
"6855" "Chordata" "Aves" "Anatidae" "Mionetta" 33.9 15.97 88 90
"6857" "Chordata" "Ornithischia" "Rhabdodontidae" "Mochlodon" 86.3 66 79 81
"6870" "Chordata" "Ornithischia" "Ceratopsidae" "Monoclonius" 83.6 70.6 80 81
"6891" "Chordata" "Aves" "Sulidae" "Morus" 23.03 0 90 94
"6942" "Chordata" "Aves" "Motacillidae" "Motacilla" 5.333 0 93 94
"6959" "Chordata" "Aves" "Ciconiidae" "Mycteria" 23.03 0.0117 90 94
"6971" "Chordata" "Ornithischia" "Nodosauridae" "Mymoorapelta" 157.3 145 68 69
"6981" "Chordata" "Aves" "Alexornithidae" "Nanantius" 113 99.6 75 76
"7002" "Chordata" "Saurischia" "Oviraptoridae" "Nemegtomaia" 83.5 66 80 81
"7005" "Chordata" "Saurischia" "Nemegtosauridae" "Nemegtosaurus" 83.6 66 80 81
"7007" "Chordata" "Aves" "Accipitridae" "Neophrontops" 20.43 0.0117 90 94
"7063" "Chordata" "Aves" "Anatidae" "Nettion" 23.03 4.9 90 93
"7070" "Chordata" "Saurischia" "Saltasauridae" "Neuquensaurus" 100.5 66 76 81
"7086" "Chordata" "Ornithischia" "Ankylosauridae" "Nodocephalosaurus" 83.5 70.6 80 81
"7092" "Chordata" "Ornithischia" "Nodosauridae" "Nodosaurus" 99.6 70.6 76 81
"7096" "Chordata" "Saurischia" "Therizinosauridae" "Nothronychus" 99.6 89.3 76 78
"7098" "Chordata" "Aves" "Tinamidae" "Nothura" 6.8 0 92 94
"7105" "Chordata" "Aves" "Scolopacidae" "Numenius" 38 0 86 94
