"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"3765" "Arthropoda" "Insecta" "Odonata" "Aeshnidae" "Anax" 150.8 5.333 69 92
"3768" "Arthropoda" "Insecta" "Hymenoptera" "Anaxyelidae" "Anaxyela" 166.1 157.3 66 67
"3772" "Arthropoda" "Trilobita" "Phacopida" "Dalmanitidae" "Anchiopsis" 410.8 382.7 30 33
"3775" "Arthropoda" "Insecta" "Coleoptera" "Carabidae" "Anchomenus" 33.9 11.608 88 92
"3778" "Arthropoda" "Trilobita" "Corynexochida" "Styginidae" "Ancyropyge" 393.3 382.7 32 33
"3794" "Arthropoda" "Insecta" "Hymenoptera" "Andrenidae" "Andrena" 38 11.608 86 92
"3803" "Arthropoda" "Trilobita" "Asaphida" "Trinucleidae" "Anebolithus" 478.6 460.9 14 17
"3812" "Arthropoda" "Insecta" "Coleoptera" "Cerambycidae" "Anelaphus" 37.2 13.82 87 91
"3814" "Arthropoda" "Insecta" "Diptera" "Dolichopodidae" "Anepsiomyia" 38 33.9 86 87
"3816" "Arthropoda" "Insecta" "Hemiptera" "Aradidae" "Aneurus" 38 15.97 86 90
"3820" "Arthropoda" "Insecta" "Diptera" "Phoridae" "Anevrina" 66 33.9 82 87
"3831" "Arthropoda" "Insecta" "Coleoptera" "Gyrinidae" "Angarogyrus" 182.7 113 62 74
"3838" "Arthropoda" "Insecta" "Hymenoptera" "Angarosphecidae" "Angarosphex" 136.4 112.03 71 75
"3937" "Arthropoda" "Trilobita" "Agnostida" "Metagnostidae" "Anglagnostus" 485.4 466 14 17
"3946" "Arthropoda" "Insecta" "Hemiptera" "Aphididae" "Aniferella" 85.8 70.6 79 81
"3950" "Arthropoda" "Insecta" "Hemiptera" "Notonectidae" "Anisops" 37.2 2.588 87 93
"3966" "Arthropoda" "Trilobita" "Proetida" "Phillipsiidae" "Anisopyge" 290.1 259.9 45 49
"4010" "Arthropoda" "Insecta" "Coleoptera" "Curculionidae" "Anisorhynchus" 37.2 28.1 87 88
"4014" "Arthropoda" "Insecta" "Coleoptera" "Leiodidae" "Anisotoma" 37.2 1.806 87 94
"4016" "Arthropoda" "Thylacocephala" "Concavicarida" "Concavicarididae" "Ankitokazocaris" 251.3 247.2 52 53
"4030" "Arthropoda" "Trilobita" "Corynexochida" "Leiostegiidae" "Annamitella" 485.4 449.5 14 19
"4067" "Arthropoda" "Arachnida" "Araneae" "Zodariidae" "Anniculus" 38 33.9 86 87
"4087" "Arthropoda" "Insecta" "Coleoptera" "Ptinidae" "Anobium" 50.3 0.126 84 94
"4096" "Arthropoda" "Insecta" "Hymenoptera" "Formicidae" "Anochetus" 20.44 13.82 90 91
"4105" "Arthropoda" "Insecta" "Coleoptera" "Scarabaeidae" "Anomala" 37.2 0.126 87 94
"4170" "Arthropoda" "Insecta" "Hymenoptera" "Ichneumonidae" "Anomalon" 38 11.608 86 92
"4175" "Arthropoda" "Insecta" "Hemiptera" "Prosbolidae" "Anomaloscytina" 254.17 252.17 51 52
"4203" "Arthropoda" "Insecta" "Hymenoptera" "Anomopterellidae" "Anomopterella" 166.1 145 66 69
"4266" "Arthropoda" "Insecta" "Diptera" "Antefungivoridae" "Antefungivora" 183 125 61 74
"4276" "Arthropoda" "Insecta" "Coleoptera" "Scarabaeidae" "Antemnacrassa" 166.1 113 66 74
"4297" "Arthropoda" "Insecta" "Coleoptera" "Buprestidae" "Anthaxia" 59.2 0.0117 83 94
