"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"7586" "Cnidaria" "Anthozoa" "Stauriida" "Bethanyphyllidae" "Bethanyphyllum" 393.3 358.9 32 35
"7633" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Bighornia" 460.9 443.4 17 21
"7711" "Cnidaria" "Anthozoa" "Scleractinia" "Stylinidae" "Bilaterocoenia" 152.1 132.9 69 72
"7721" "Cnidaria" "Anthozoa" "Sarcinulida" "Billingsariidae" "Billingsaria" 471.8 449.5 15 19
"7742" "Cnidaria" "Anthozoa" "Stauriida" "Phillipsastreidae" "Billingsastraea" 419.2 382.7 29 33
"7751" "Cnidaria" "Anthozoa" "Scleractinia" "Mussidae" "Blastomussa" 5.333 0.0117 93 94
"7756" "Cnidaria" "Anthozoa" "Stauriida" "Halliidae" "Blothrophyllum" 419.2 382.7 29 33
"7777" "Cnidaria" "Anthozoa" "Stauriida" "Endophyllidae" "Blysmatophyllum" 393.3 382.7 32 33
"7780" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Bodophyllum" 458.4 438.5 18 22
"7805" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Borelasma" 445.6 433.4 19 23
"7812" "Cnidaria" "Anthozoa" "Stauriida" "Bothrophyllidae" "Bothroclisia" 306.95 295.5 41 43
"7814" "Cnidaria" "Anthozoa" "Scleractinia" "Turbinoliidae" "Bothrophoria" 72.1 23.03 81 89
"7817" "Cnidaria" "Anthozoa" "Stauriida" "Bothrophyllidae" "Bothrophyllum" 372.2 290.1 35 44
"7863" "Cnidaria" "Anthozoa" "Scleractinia" "Agatheliidae" "Brachthelia" 164.7 145 66 69
"7866" "Cnidaria" "Anthozoa" "Scleractinia" "Haplaraeidae" "Brachymeandra" 125.45 66 74 81
"7881" "Cnidaria" "Anthozoa" "Scleractinia" "Latomeandridae" "Brachyphyllia" 125 83.6 74 79
"7904" "Cnidaria" "Anthozoa" "Scleractinia" "Latomeandridae" "Brachyseris" 189.6 83.6 61 79
"7916" "Cnidaria" "Anthozoa" "Stauriida" "Antiphyllidae" "Bradyphyllum" 346.7 252.17 37 52
"7945" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Breviphrentis" 419.2 364.7 29 35
"7975" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Breviphyllum" 419.2 358.9 29 35
"7983" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Briantelasma" 427.4 410.8 26 29
"7995" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Budaia" 125 93.9 74 76
"8003" "Cnidaria" "Anthozoa" "Scleractinia" "Calamophylliidae" "Calamophyllia" 168.3 12.7 65 91
"8053" "Cnidaria" "Anthozoa" "Scleractinia" "Dermosmiliidae" "Calamophylliopsis" 190.8 23.03 61 89
"8301" "Cnidaria" "Anthozoa" "Sarcinulida" "Syringophyllidae" "Calapoecia" 470 419.2 16 28
"8409" "Cnidaria" "Anthozoa" "Cystiphyllida" "Goniophyllidae" "Calceola" 419.2 382.4 29 34
"8470" "Cnidaria" "Anthozoa" "Favositida" "Alveolitidae" "Caliapora" 419.2 372.2 29 34
"8538" "Cnidaria" "Scyphozoa" "Conulariida" "Conulariidae" "Calloconularia" 330.9 295.5 38 43
