"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"12673" "Mollusca" "Gastropoda" "Bellerophontida" "Bucanellidae" "Bucanella" 485.4 402.5 14 31
"12698" "Mollusca" "Gastropoda" "Bellerophontida" "Bucaniidae" "Bucania" 485.4 412.3 14 29
"12868" "Mollusca" "Gastropoda" "Bellerophontida" "Bucaniidae" "Bucanopsina" 460.9 445.6 17 19
"12873" "Mollusca" "Gastropoda" "Bellerophontida" "Bellerophontidae" "Bucanopsis" 470 252.17 16 52
"12942" "Mollusca" "Gastropoda" "Neogastropoda" "Fasciolariidae" "Buccinofusus" 66 1.806 82 94
"12958" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Buccinopsis" 83.6 66 80 81
"13037" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Buccinulum" 28.4 0.126 88 94
"13045" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Buccinum" 152.1 0 69 94
"13191" "Mollusca" "Gastropoda" "Neogastropoda" "Horaiclavidae" "Buchema" 11.608 2.588 92 93
"13193" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Buechelia" 393.3 382.7 32 33
"13246" "Mollusca" "Gastropoda" "Murchisoniina" "Soleniscidae" "Bulimorpha" 358.9 254.17 36 51
"13297" "Mollusca" "Gastropoda" "Basommatophora" "Planorbidae" "Bulinus" 15.97 0 91 94
"13319" "Mollusca" "Gastropoda" "Cephalaspidea" "Bullidae" "Bulla" 166.1 0 66 94
"13557" "Mollusca" "Gastropoda" "Cephalaspidea" "Cylichnidae" "Bullaria" 93.9 0.0117 77 94
"13574" "Mollusca" "Gastropoda" "Neogastropoda" "Nassariidae" "Bullia" 61.6 0.0117 83 94
"13643" "Mollusca" "Gastropoda" "Architectibranchia" "Acteonidae" "Bullina" 89.8 61.6 78 82
"13645" "Mollusca" "Gastropoda" "Cephalaspidea" "Bullidae" "Bullinella" 66 33.9 82 87
"13666" "Mollusca" "Gastropoda" "Neogastropoda" "Nassariidae" "Bulliopsis" 56 5.333 84 92
"13717" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Burnupena" 3.6 0.0117 93 94
"13743" "Mollusca" "Gastropoda" "Basommatophora" "Planorbidae" "Burnupia" 3.6 0 93 94
