"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"27493" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Chimela" 105.3 66 75 81
"27496" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Chione" 100.5 0 76 94
"27931" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Chioneryx" 11.608 0.0117 92 94
"27939" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Chionista" 11.62 0.0117 92 94
"27952" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Chionopsis" 33.9 0 88 94
"28193" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Chlamys" 251.3 0 52 94
"30412" "Mollusca" "Bivalvia" "Pectinida" "Chondrodontidae" "Chondrodonta" 132.9 89.3 72 78
"30482" "Mollusca" "Bivalvia" "Veneroidei" "Petricolina" "Choristodon" 11.62 0 92 94
"30489" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Choromytilus" 5.333 0.0117 93 94
"30512" "Mollusca" "Bivalvia" "Pectinida" "Claraiidae" "Chuluaria" 252.17 155.7 52 68
"30530" "Mollusca" "Bivalvia" "Myalinida" "Atomodesmatidae" "Cigarella" 290.1 259.9 45 49
"30546" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Ciliatocardium" 55.8 0 84 94
"30645" "Mollusca" "Bivalvia" "Pectinida" "Entoliidae" "Cingentolium" 183 145 61 69
"30822" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Circe" 61.6 0 83 94
"30883" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Circomphalus" 23.03 0.126 90 94
"30910" "Mollusca" "Bivalvia" "Ostreida" "Gryphaeidae" "Circunula" 161.2 150.8 67 69
"30914" "Mollusca" "Bivalvia" "Myalinida" "Inoceramidae" "Cladoceramus" 89.8 83.5 78 80
