"","gen_dur","subf_dur","fam_dur","supfam_dur","ord_dur","cla_dur"
"515",19.2,NA,0,NA,NA,NA
"516",101,NA,0,NA,NA,NA
"517",6.65000000000003,NA,0,NA,NA,NA
"518",8.59999999999997,NA,8.65,NA,NA,NA
"519",11.4,NA,12.25,NA,NA,NA
"520",46.8,NA,0,NA,NA,NA
"521",66.2,NA,20.15,NA,NA,NA
"522",10.87,NA,0,NA,NA,NA
"523",38.692,NA,0,NA,NA,NA
"524",10.7,NA,0,NA,NA,NA
"525",25.3,NA,20.15,NA,NA,NA
"526",4.1,NA,0,NA,NA,NA
"527",14.97,NA,0,NA,NA,NA
"528",60,NA,99.5,NA,NA,NA
"529",31.5,NA,0,NA,NA,NA
"530",25.13,NA,5.25,NA,NA,NA
"531",11.4,NA,0,NA,NA,NA
"532",31,NA,0,NA,NA,NA
"533",66.2,NA,57.55,NA,NA,NA
"534",74.192,NA,0,NA,NA,NA
"535",47.592,NA,0,NA,NA,NA
"536",56.267,NA,96.7,NA,NA,NA
"537",6.09999999999999,NA,0,NA,NA,NA
"538",6.09999999999999,NA,15.95,NA,NA,NA
"539",6.09999999999999,NA,43.4235,NA,NA,NA
"540",6.09999999999999,NA,0,NA,NA,NA
"541",6.09999999999999,NA,0,NA,NA,NA
"542",11.8,NA,0,NA,NA,NA
"543",6.09999999999999,NA,0,NA,NA,NA
"544",6.09999999999999,NA,31.53,NA,NA,NA
"545",6.09999999999999,NA,0,NA,NA,NA
"546",11.8,NA,0,NA,NA,NA
"547",45.7,NA,0,NA,NA,NA
"548",6.09999999999999,NA,0,NA,NA,NA
"549",6.09999999999999,NA,48.2,NA,NA,NA
"550",6.09999999999999,NA,4.95,NA,NA,NA
"551",11.8,NA,35.5,NA,NA,NA
"552",6.09999999999999,NA,0,NA,NA,NA
"553",6.09999999999999,NA,0,NA,NA,NA
"554",6.09999999999999,NA,0,NA,NA,NA
"555",6.09999999999999,NA,72.35,NA,NA,NA
"556",6.09999999999999,NA,0,NA,NA,NA
"557",6.09999999999999,NA,0,NA,NA,NA
"558",37.1883,NA,0,NA,NA,NA
"559",187.2,NA,0,NA,NA,NA
"560",485.3883,NA,0,NA,NA,NA
"561",4.1,NA,0,NA,NA,NA
"562",11.422,NA,66,NA,NA,NA
"563",4.1,NA,129.85,NA,NA,NA
"564",4.1,NA,0,NA,NA,NA
"565",32.38,NA,0,NA,NA,NA
"566",9.59999999999999,NA,0,NA,NA,NA
"567",37.9883,NA,0,NA,NA,NA
"568",4.1,NA,45.005,NA,NA,NA
"569",9.21,NA,0,NA,NA,NA
"570",21.9,NA,21.4,NA,NA,NA
"571",17.9,NA,20.67,NA,NA,NA
"572",10.112,NA,40.1,NA,NA,NA
"573",27.13,NA,35.6,NA,NA,NA
"574",24.18,NA,82.25,NA,NA,NA
"575",19.9,NA,21.95,NA,NA,NA
"576",112,NA,0,NA,NA,NA
"577",6.112,NA,0,NA,NA,NA
"578",21.1,NA,4.9,NA,NA,NA
"579",37.188,NA,111,NA,NA,NA
"580",38,NA,0,NA,NA,NA
"581",93.5,NA,0,NA,NA,NA
"582",32.6,NA,0,NA,NA,NA
"583",33,NA,0,NA,NA,NA
"584",4.1,NA,0,NA,NA,NA
"585",7.367,NA,0,NA,NA,NA
"586",53.412,NA,148.4,NA,NA,NA
"587",48.494,NA,0,NA,NA,NA
"588",4.1,NA,139.2,NA,NA,NA
"589",15.2,NA,8.09999999999997,NA,NA,NA
"590",314.5883,NA,0,NA,NA,NA
"591",113,NA,0,NA,NA,NA
"592",37.9883,NA,0,NA,NA,NA
"593",14.97,NA,19.15,NA,NA,NA
"594",1.092,NA,96.65,NA,NA,NA
"595",4.1,NA,0,NA,NA,NA
"596",6.09999999999999,NA,0,NA,NA,NA
"597",198.712,NA,0,NA,NA,NA
