occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso
950132,occ,24906,,26370,Carteremys,genus,37593,Maastrichtian,,72.1,66,7271,Chordata,33815,Reptilia,36322,Testudines,56475,Pelomedusidae,37590,Carteremys,37593,NA,Hydraspis,,,NA,leithi,
950134,occ,24908,,26370,Isisaurus,genus,64313,Maastrichtian,,72.1,66,27712,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Isisaurus,64313,NA,Isisaurus,,,NA,sp.,
950445,occ,NA,,86837,Cyamodus,genus,36531,Anisian,Ladinian,247.2,237,44207,Chordata,33815,Reptilia,36322,Placodontia,36529,Cyamodontidae,38866,Cyamodus,36531,NA,Cyamodus,,,NA,hildegardensis,n. sp.
950446,occ,NA,,86837,Paraplacodus,genus,36535,Anisian,Ladinian,247.2,237,42290,Chordata,33815,Reptilia,36322,Placodontia,36529,Paraplacodontidae,241937,Paraplacodus,36535,NA,Paraplacodus,,,NA,broilii,n. sp.
950447,occ,NA,,86837,Mixosaurus,genus,36562,Anisian,Ladinian,247.2,237,36435,Chordata,33815,Reptilia,36322,Ichthyosauria,36543,Mixosauridae,38875,Mixosaurus,36562,NA,Mixosaurus,,,NA,sp.,
950448,occ,NA,,86837,Nothosaurus,genus,36442,Anisian,Ladinian,247.2,237,36435,Chordata,33815,Reptilia,36322,Eosauropterygia,100142,Nothosauridae,38170,Nothosaurus,36442,NA,Paranothosaurus,,,NA,amsleri,
950449,occ,NA,,86837,Tanystropheus,genus,38196,Anisian,Ladinian,247.2,237,36435,Chordata,33815,Reptilia,36322,Eosuchia,37795,Tanystropheidae,38195,Tanystropheus,38196,NA,Tanystropheus,,,NA,longobardicus,
950450,occ,NA,,110929,Ceresiosaurus,genus,36429,Ladinian,,242,237,36435,Chordata,33815,Reptilia,36322,Eosauropterygia,100142,Nothosauridae,38170,Ceresiosaurus,36429,NA,Ceresiosaurus,,,NA,calcagnii,
950451,occ,NA,,110929,Pachypleurosaurus,genus,36443,Ladinian,,242,237,36435,Chordata,33815,Reptilia,36322,Eosauropterygia,100142,Pachypleurosauridae,38168,Pachypleurosaurus,36443,NA,Pachypleurosaurus,,,NA,sp.,
950452,occ,NA,,110930,Lariosaurus,genus,36438,Ladinian,,242,237,36435,Chordata,33815,Reptilia,36322,Eosauropterygia,100142,Nothosauridae,38170,Lariosaurus,36438,NA,Lariosaurus,,,NA,balsami,
951472,occ,NA,,26370,Madtsoia,genus,38105,Maastrichtian,,72.1,66,36363,Chordata,33815,Reptilia,36322,Squamata,36379,Madtsoiidae,64923,Madtsoia,38105,NA,Madtsoia,,,NA,pisdurensis,n. sp.
955773,occ,NA,,111895,Arenysuchus,genus,190745,Late Maastrichtian,,70.6,66,36564,Chordata,33815,Reptilia,36322,Eosuchia,37795,Allodaposuchidae,331021,Arenysuchus,190745,NA,Arenysuchus,n. gen.,,NA,gascabadiolorum,n. sp.
956673,occ,NA,,45437,Arenysuchus,genus,190745,Late Maastrichtian,,70.6,66,36564,Chordata,33815,Reptilia,36322,Eosuchia,37795,Allodaposuchidae,331021,Arenysuchus,190745,NA,Arenysuchus,,,NA,gascabadiolorum,
957085,occ,NA,,112003,Sphagesaurus,genus,191119,Late Campanian,Early Maastrichtian,83.5,66,36591,Chordata,33815,Reptilia,36322,Eosuchia,37795,Sphagesauridae,148944,Sphagesaurus,191119,NA,Sphagesaurus,,,NA,huenei,
