order,superfamily,family,genus,fad,lad
Textulariida,Ataxophragmioidea,Globotextulariidae,Matanzia,100.5,5.333
Textulariida,Ataxophragmioidea,Ataxophragmiidae,Ataxophragmium,100.5,56
Textulariida,Ataxophragmioidea,Ataxophragmiidae,Opertum,126.3,66
Textulariida,Ataxophragmioidea,Ataxophragmiidae,Voloshinoides,113,66
Textulariida,Ataxophragmioidea,Ataxophragmiidae,Palaeolituonella,247.1,228.4
Textulariida,Ataxophragmioidea,Cuneolinidae,Cuneolina,139.4,66
Textulariida,Ataxophragmioidea,Cuneolinidae,Pseudotextulariella,145,93.9
Textulariida,Ataxophragmioidea,Cuneolinidae,Sabaudia,139.4,97.2
Textulariida,Ataxophragmioidea,Cuneolinidae,Vercorsella,139.4,100.5
Textulariida,Ataxophragmioidea,Dicyclinidae,Dicyclina,113,83.6
Textulariida,Orbitolinoidea,Orbitolinidae,Abrardia,83.6,66
Textulariida,Orbitolinoidea,Orbitolinidae,Campanellula,139.4,126.3
Textulariida,Orbitolinoidea,Orbitolinidae,Coskinolinoides,126.3,100.5
Textulariida,Orbitolinoidea,Orbitolinidae,Cribellopsis,131.8,119.3
Textulariida,Orbitolinoidea,Orbitolinidae,Falsurgonina,128,119.3
Textulariida,Orbitolinoidea,Orbitolinidae,Pseudorbitolina,83.6,66
Textulariida,Orbitolinoidea,Orbitolinidae,Dictyoconus,126.3,23.03
Textulariida,Orbitolinoidea,Orbitolinidae,Montseciella,131.8,119.3
Textulariida,Orbitolinoidea,Orbitolinidae,Paracoskinolina,130.8,100.5
Textulariida,Orbitolinoidea,Orbitolinidae,Paleodictyoconus,139.4,119.3
Textulariida,Orbitolinoidea,Orbitolinidae,Urgonina,130.8,126.3
Textulariida,Orbitolinoidea,Orbitolinidae,Calveziconus,83.6,72.1
Textulariida,Orbitolinoidea,Orbitolinidae,Iraqia,126.3,100.5
Textulariida,Orbitolinoidea,Orbitolinidae,Neorbitolinopsis,102.1,96.1
Textulariida,Orbitolinoidea,Orbitolinidae,Orbitolinella,96.1,89.8
Textulariida,Orbitolinoidea,Orbitolinidae,Orbitolinopsis,126.3,102.1
Textulariida,Orbitolinoidea,Orbitolinidae,Valdanchella,139.4,133.9
Textulariida,Orbitolinoidea,Orbitolinidae,Valserina,128,126.8
Textulariida,Orbitolinoidea,Orbitolinidae,Simplorbitolina,126.3,100.5
Textulariida,Orbitolinoidea,Orbitolinidae,Dictyoconella,96.1,66
Textulariida,Orbitolinoidea,Orbitolinidae,Conicorbitolina,102.1,96.1
Textulariida,Orbitolinoidea,Orbitolinidae,Eopalorbitolina,130.8,126.3
Textulariida,Orbitolinoidea,Orbitolinidae,Eygalierina,130.8,126.3
Textulariida,Orbitolinoidea,Orbitolinidae,Orbitolina,102.1,93.9
Textulariida,Orbitolinoidea,Orbitolinidae,Mesorbitolina,126.3,96.1
Textulariida,Orbitolinoidea,Orbitolinidae,Naupliella,102.1,100.5
Textulariida,Orbitolinoidea,Orbitolinidae,Neoiraqia,96.1,93.9
Textulariida,Orbitolinoidea,Orbitolinidae,Palorbitolina,128.2,113
Textulariida,Orbitolinoidea,Orbitolinidae,Palorbitolinoides,118.4,102.1
Textulariida,Orbitolinoidea,Orbitolinidae,Praeorbitolina,126.3,100.5
Textulariida,Orbitolinoidea,Orbitolinidae,Rectodictyoconus,130.8,126.3
Textulariida,Pavonitinoidea,Pavonitinidae,Spiropsammia,33.9,3.6
Textulariida,Pavonitinoidea,Pavonitinidae,Pavonitina,33.9,5.333
Textulariida,Pavonitinoidea,Pavonitinidae,Pavopsammia,33.9,23.03
Textulariida,Pavonitinoidea,Pavonitinidae,Zotheculifida,28.1,15.97
Textulariida,Pavonitinoidea,Pavonitinidae,Pseudotriplasia,23.03,5.333
Textulariida,Lituoloidea,Cyclamminidae,Cyclammina,66,0
Textulariida,Lituoloidea,Cyclamminidae,Reticulophragmium,66,0
Textulariida,Lituoloidea,Cyclamminidae,Cyclammina,66,0
Textulariida,Lituoloidea,Spirocyclinidae,Saudia,66,37.8
Textulariida,Lituoloidea,Spirocyclinidae,Thomasella,56,47.8
Textulariida,Lituoloidea,Hauraniidae,Spirocyclina,96.1,83.6
Textulariida,Lituoloidea,Hauraniidae,Martiguesia,86.3,83.6
Textulariida,Lituoloidea,Hauraniidae,Montsechiana,139.4,83.6
Textulariida,Lituoloidea,Hauraniidae,Qataria,96.1,89.8
Textulariida,Lituoloidea,Hauraniidae,Sornayina,89.8,86.3
Textulariida,Lituoloidea,Hauraniidae,Ataxella,168.3,166.1
Textulariida,Lituoloidea,Hauraniidae,Cymbriaella,201.3,182.7
Textulariida,Lituoloidea,Hauraniidae,Gutnicella,190.8,163.5
Textulariida,Lituoloidea,Hauraniidae,Haurania,195,166.1
Textulariida,Lituoloidea,Hauraniidae,Meyendorffina,168.3,160.2
Textulariida,Lituoloidea,Hauraniidae,Platyhaurania,195,174.1
Textulariida,Lituoloidea,Hauraniidae,Robustoconus,170.3,169.3
Textulariida,Lituoloidea,Hauraniidae,Socotraina,190.8,174.1
Textulariida,Lituoloidea,Hauraniidae,Timidonella,174.1,167.4
Textulariida,Lituoloidea,Hauraniidae,Trochamijiella,170.3,163.5
Textulariida,Lituoloidea,Hauraniidae,Alzonella,168.3,163.5
Textulariida,Lituoloidea,Hauraniidae,Alzonorbitopsella,167.4,166.1
